invoice_id,date,client_name,industry,amount
INV080,2024-09-10,Omega Enterprises,Logistics,428000
INV081,2024-03-05,Alpha Traders,Retail,162000
INV082,2024-03-25,Beta Corp,IT Services,272000
INV083,2024-04-18,Delta Pvt Ltd,Manufacturing,358000
INV084,2024-05-10,Gamma Solutions,IT Services,221000
INV085,2024-06-05,Omega Enterprises,Logistics,402000
INV086,2024-06-25,Alpha Traders,Retail,128000
INV087,2024-07-15,Beta Corp,IT Services,212000
INV088,2024-08-05,Delta Pvt Ltd,Manufacturing,365000
INV089,2024-09-20,Gamma Solutions,IT Services,265000
INV090,2024-10-01,Omega Enterprises,Logistics,445000
INV091,2024-04-01,Alpha Traders,Retail,154000
INV092,2024-04-25,Beta Corp,IT Services,282000
INV093,2024-05-15,Delta Pvt Ltd,Manufacturing,348000
INV094,2024-06-10,Gamma Solutions,IT Services,230000
INV095,2024-07-05,Omega Enterprises,Logistics,419000
INV096,2024-07-28,Alpha Traders,Retail,136000
INV097,2024-08-18,Beta Corp,IT Services,202000
INV098,2024-09-12,Delta Pvt Ltd,Manufacturing,372000
INV099,2024-10-05,Gamma Solutions,IT Services,252000
INV100,2024-11-01,Omega Enterprises,Logistics,421000
